no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,full_date
2,1,0,1,Meal Plan 1,0,Room_Type 1,0,2018,7,1,Online,0,0,0,159.0,0,01.07.2018
2,1,0,1,Meal Plan 1,0,Room_Type 1,2,2018,7,1,Online,0,0,0,167.0,1,01.07.2018
1,0,0,1,Meal Plan 1,1,Room_Type 4,4,2018,7,1,Corporate,1,0,3,103.0,1,01.07.2018
2,0,0,1,Meal Plan 1,0,Room_Type 4,5,2018,7,1,Online,0,0,0,144.0,0,01.07.2018
3,0,0,1,Meal Plan 1,0,Room_Type 4,5,2018,7,1,Online,0,0,0,165.0,0,01.07.2018
2,0,0,1,Meal Plan 1,0,Room_Type 1,14,2018,7,1,Online,0,0,0,151.0,0,01.07.2018
3,0,0,2,Meal Plan 1,0,Room_Type 4,16,2018,7,1,Online,0,0,0,187.0,3,01.07.2018
2,0,0,2,Meal Plan 1,0,Room_Type 4,16,2018,7,1,Online,0,0,0,166.0,2,01.07.2018
3,0,1,2,Meal Plan 1,0,Room_Type 4,18,2018,7,1,Online,0,0,0,187.0,3,01.07.2018
2,0,1,2,Meal Plan 1,0,Room_Type 1,19,2018,7,1,Online,0,0,0,151.0,1,01.07.2018
2,1,0,1,Meal Plan 1,0,Room_Type 1,20,2018,7,1,Online,0,0,0,169.0,1,01.07.2018
3,0,1,2,Meal Plan 1,0,Room_Type 4,22,2018,7,1,Online,0,0,0,168.3,0,01.07.2018
3,0,0,2,Meal Plan 1,0,Room_Type 4,23,2018,7,1,Online,0,0,0,187.0,2,01.07.2018
2,0,2,2,Meal Plan 1,0,Room_Type 1,25,2018,7,1,Offline,0,0,0,72.25,0,01.07.2018
2,0,2,2,Meal Plan 1,0,Room_Type 1,25,2018,7,1,Offline,0,0,0,72.25,0,01.07.2018
2,1,0,1,Meal Plan 1,0,Room_Type 1,33,2018,7,1,Online,0,0,0,152.1,2,01.07.2018
3,0,2,3,Meal Plan 1,0,Room_Type 4,36,2018,7,1,Online,0,0,0,150.3,0,01.07.2018
2,0,0,2,Not Selected,0,Room_Type 1,36,2018,7,1,Online,0,0,0,107.1,1,01.07.2018
2,0,0,1,Meal Plan 1,0,Room_Type 4,37,2018,7,1,Online,0,0,0,131.4,0,01.07.2018
2,0,2,3,Not Selected,0,Room_Type 1,38,2018,7,1,Online,0,0,0,107.1,0,01.07.2018
2,0,0,1,Not Selected,0,Room_Type 1,39,2018,7,1,Online,0,0,0,107.1,1,01.07.2018
2,0,0,2,Not Selected,0,Room_Type 1,39,2018,7,1,Online,0,0,0,107.1,0,01.07.2018
2,0,1,2,Meal Plan 1,1,Room_Type 1,43,2018,7,1,Online,0,0,0,126.9,1,01.07.2018
2,0,0,2,Meal Plan 1,0,Room_Type 1,43,2018,7,1,Online,0,0,0,117.9,0,01.07.2018
3,0,0,2,Meal Plan 1,0,Room_Type 4,44,2018,7,1,Online,0,0,0,150.3,0,01.07.2018
3,0,0,2,Meal Plan 1,0,Room_Type 4,44,2018,7,1,Online,0,0,0,150.3,0,01.07.2018
3,0,0,2,Meal Plan 1,0,Room_Type 4,44,2018,7,1,Online,0,0,0,150.3,0,01.07.2018
2,0,0,2,Not Selected,0,Room_Type 1,46,2018,7,1,Online,0,0,0,107.1,1,01.07.2018
2,0,2,3,Meal Plan 1,0,Room_Type 1,47,2018,7,1,Online,0,0,0,117.9,1,01.07.2018
2,0,2,3,Meal Plan 1,0,Room_Type 1,47,2018,7,1,Online,0,0,0,117.9,1,01.07.2018
2,0,1,2,Meal Plan 1,0,Room_Type 1,49,2018,7,1,Online,0,0,0,117.9,3,01.07.2018
3,0,1,2,Meal Plan 1,0,Room_Type 4,49,2018,7,1,Online,0,0,0,150.3,4,01.07.2018
2,0,0,2,Not Selected,0,Room_Type 1,49,2018,7,1,Online,0,0,0,107.1,0,01.07.2018
2,0,0,2,Meal Plan 1,0,Room_Type 1,51,2018,7,1,Online,0,0,0,117.9,1,01.07.2018
3,1,1,2,Meal Plan 1,0,Room_Type 7,53,2018,7,1,Online,0,0,0,188.81,1,01.07.2018
2,0,0,2,Not Selected,0,Room_Type 1,53,2018,7,1,Online,0,0,0,78.35,1,01.07.2018
2,0,0,2,Not Selected,0,Room_Type 1,53,2018,7,1,Online,0,0,0,78.35,1,01.07.2018
2,0,1,2,Not Selected,0,Room_Type 1,56,2018,7,1,Online,0,0,0,107.1,1,01.07.2018
2,0,1,2,Meal Plan 1,0,Room_Type 1,59,2018,7,1,Offline,0,0,0,85.0,0,01.07.2018
3,0,2,5,Meal Plan 1,0,Room_Type 4,73,2018,7,1,Offline,0,0,0,117.64,1,01.07.2018
2,0,1,2,Meal Plan 1,0,Room_Type 4,75,2018,7,1,Online,0,0,0,131.4,0,01.07.2018
2,0,2,5,Meal Plan 1,0,Room_Type 4,76,2018,7,1,Offline,0,0,0,82.45,0,01.07.2018
2,0,0,1,Meal Plan 1,0,Room_Type 4,80,2018,7,1,Online,0,0,0,98.41,0,01.07.2018
2,0,2,4,Meal Plan 1,0,Room_Type 1,82,2018,7,1,Online,0,0,0,114.3,1,01.07.2018
3,0,2,4,Meal Plan 1,0,Room_Type 4,82,2018,7,1,Online,0,0,0,146.7,2,01.07.2018
2,0,2,3,Meal Plan 1,0,Room_Type 1,83,2018,7,1,Online,0,0,0,108.9,1,01.07.2018
2,1,1,2,Meal Plan 1,0,Room_Type 1,86,2018,7,1,Offline,0,0,0,107.69,1,01.07.2018
2,0,1,2,Meal Plan 1,0,Room_Type 1,86,2018,7,1,Offline,0,0,0,86.36,0,01.07.2018
2,0,0,2,Meal Plan 1,0,Room_Type 1,87,2018,7,1,Online,0,0,0,114.3,2,01.07.2018
2,1,2,3,Meal Plan 1,0,Room_Type 1,95,2018,7,1,Online,0,0,0,130.5,1,01.07.2018
3,0,2,6,Meal Plan 1,0,Room_Type 4,113,2018,7,1,Online,0,0,0,138.55,0,01.07.2018
1,0,1,2,Meal Plan 1,0,Room_Type 1,114,2018,7,1,Online,0,0,0,75.0,0,01.07.2018
1,0,1,2,Meal Plan 1,0,Room_Type 1,114,2018,7,1,Online,0,0,0,75.0,0,01.07.2018
1,0,1,2,Meal Plan 1,0,Room_Type 1,114,2018,7,1,Offline,0,0,0,75.0,0,01.07.2018
1,0,1,2,Meal Plan 1,0,Room_Type 1,114,2018,7,1,Offline,0,0,0,75.0,0,01.07.2018
1,0,1,2,Meal Plan 1,0,Room_Type 1,114,2018,7,1,Offline,0,0,0,75.0,0,01.07.2018
1,0,1,2,Meal Plan 1,0,Room_Type 1,114,2018,7,1,Offline,0,0,0,75.0,0,01.07.2018
1,0,1,2,Meal Plan 1,0,Room_Type 1,114,2018,7,1,Offline,0,0,0,75.0,0,01.07.2018
1,0,1,2,Meal Plan 1,0,Room_Type 1,114,2018,7,1,Offline,0,0,0,75.0,0,01.07.2018
1,0,1,2,Meal Plan 1,0,Room_Type 1,114,2018,7,1,Offline,0,0,0,75.0,0,01.07.2018
1,0,1,2,Meal Plan 1,0,Room_Type 1,114,2018,7,1,Offline,0,0,0,75.0,0,01.07.2018
1,0,1,2,Meal Plan 1,0,Room_Type 1,114,2018,7,1,Offline,0,0,0,75.0,0,01.07.2018
1,0,1,2,Meal Plan 1,0,Room_Type 1,114,2018,7,1,Offline,0,0,0,75.0,0,01.07.2018
1,0,1,2,Meal Plan 1,0,Room_Type 1,114,2018,7,1,Offline,0,0,0,75.0,0,01.07.2018
